,ID_tassonomia,macroambiti,campi,azione,descrizione_codice_campo,descrizione_codice_macro
59,24,B,4,"Agevolazioni tariffarie e contributi per la scuola (libri, mensa, trasporti ecc.)",Agevolazioni e contributi,Misure economiche
64,25,B,4,Agevolazioni per famiglie con disagio economico,Agevolazioni e contributi,Misure economiche
5,26,B,4,Agevolazioni tariffarie e contributi per servizi educativi e di conciliazione,Agevolazioni e contributi,Misure economiche
66,27,B,4,Agevolazioni tariffarie e contributi attivitа sportive e benessere psicofisico,Agevolazioni e contributi,Misure economiche
6,28,B,4,Agevolazioni tariffarie e contributi attivitа ricreative/culturali/aggregative/formative,Agevolazioni e contributi,Misure economiche
9,29,B,4,Sostegno economico alle associazioni del territorio / Concessione spazi,Agevolazioni e contributi,Misure economiche
10,30,B,4,"Promozione della natalitа (Bonus bebи, kit nuovi nati ecc.)",Agevolazioni e contributi,Misure economiche
65,31,B,4,"Agevolazioni e contributi per la casa (edilizia residenziale, affitto, ecc.)",Agevolazioni e contributi,Misure economiche
36,37,B,5,Fornitura legna,Benefit e scontistica,Misure economiche
73,39,B,5,Family card comunale / aziendale e convenzioni per servizi conciliativi e di trasporto,Benefit e scontistica,Misure economiche
45,40,B,5,Wifi free,Benefit e scontistica,Misure economiche
26,46,C,6,Strumenti di comunicazione,Comunicazione,Informazione e comunicazione
11,51,C,7,Sportelli informativi e di orientamento,Ascolto,Informazione e comunicazione
43,52,D,8,"Incontri formativi e informativi: Media education, cittadinanza digitale, digital divide e nuove tecnologie",Formazione,Comunitа educante
87,53,D,8,Incontri formativi e informativi: Sviluppo competenze lavorative,Formazione,Comunitа educante
27,54,D,8,"Incontri formativi e informativi: Educazione, Genitorialitа, Conciliazione, Vita di coppia",Formazione,Comunitа educante
46,55,D,8,"Incontri formativi e informativi: Salute e stili di vita, Contrasto alle dipendenze",Formazione,Comunitа educante
16,56,D,8,"Attivitа  di educazione ambientale (laboratori, giornate ecologiche, giornata del riuso, raccolta differenziata)",Formazione,Comunitа educante
50,57,D,8,"Sensibilizzazione su convivenza e rispetto reciproco (impegno civico, volontariato, sicurezza stradale, giornata dell’infanzia e dell’adolescenza, sicurezza delle famiglie)",Formazione,Comunitа educante
14,58,D,9,"Tirocini, promozione di percorsi lavorativi, Alternanza scuola lavoro ",Progetti per protagonismo dei giovani,Comunitа educante
62,60,D,9,Progetti organizzati nell’ambito della scuola dell'obbligo,Progetti per protagonismo dei giovani,Comunitа educante
61,61,D,9,Servizio civile,Progetti per protagonismo dei giovani,Comunitа educante
28,62,D,9,"Progetti di partecipazione attiva di bambini, ragazzi e giovani (consiglio comunale dei ragazzi..)",Progetti per protagonismo dei giovani,Comunitа educante
33,63,D,9,Attivitа e incontri di formazione su tematiche di politiche giovanili,Progetti per protagonismo dei giovani,Comunitа educante
15,64,D,9,Centri di aggregazione per giovani,Progetti per protagonismo dei giovani,Comunitа educante
34,65,D,10,"Promozione e organizzazione di eventi ludici (festa delle famiglie, spettacoli ecc.)",Eventi e attivitа per le famiglie,Comunitа educante
40,66,D,10,"Eventi di valorizzazione del territorio e dell’attrattivitа locale (passeggiate, enogastronomia, fiera dell’agricoltura..)",Eventi e attivitа per le famiglie,Comunitа educante
63,67,D,10,"Progetti di lettura e musica (Nati per leggere e Nati per la musica, Leggere ad alta voce ecc.)",Eventi e attivitа per le famiglie,Comunitа educante
18,68,D,10,"Proposte culturali: museo, cinema, teatro, arte ecc.",Eventi e attivitа per le famiglie,Comunitа educante
39,69,D,10,"Laboratori creativi e educativi (Corsi abilitа, pratiche e artigianato, antichi mestieri ecc)",Eventi e attivitа per le famiglie,Comunitа educante
17,70,D,10,"Turismo a misura di famiglia (servizi ricettivi, accoglienza ecc.)",Eventi e attivitа per le famiglie,Comunitа educante
68,71,D,11,Attivitа sportiva per bambini e ragazzi,Sport,Comunitа educante
83,72,D,11,Attivitа sportiva per adulti e anziani,Sport,Comunitа educante
38,73,D,11,"Promozione e organizzazione di eventi sportivi (giornata dello sport, escursioni, ecc)",Sport,Comunitа educante
44,75,D,12,"Attivitа con RSA, progetti tra generazioni",Eventi o attivitа intergenerazionali,Comunitа educante
74,77,D,12,Progetti di domiciliaritа per anziani non autosufficienti,Eventi o attivitа intergenerazionali,Comunitа educante
76,78,D,12,Centri socio culturali per anziani e iniziative per il tempo libero,Eventi o attivitа intergenerazionali,Comunitа educante
75,79,D,13,Progetti per la disabilitа nell’ambito scolastico e conciliazione estiva,Disabilitа e fragilitа sociale,Comunitа educante
88,80,D,13,Progetti per la disabilitа nell’ambito lavorativo,Disabilitа e fragilitа sociale,Comunitа educante
84,81,D,13,"Progetti di autonomia (Dopo di noi, comunicazione aumentativa, ecc.)",Disabilitа e fragilitа sociale,Comunitа educante
52,82,D,13,Incontri formativi e informativi sulla disabilitа,Disabilitа e fragilitа sociale,Comunitа educante
78,83,D,13,Agevolazioni/Contributi per famiglie con figli o familiari disabili,Disabilitа e fragilitа sociale,Comunitа educante
81,84,D,13,Progetti di sostegno per caregiver e amministratori di sostegno,Disabilitа e fragilitа sociale,Comunitа educante
67,85,D,13,"Progetti di sostegno fra mamme e fra famiglie (accoglienza familiare, sostegno tra mamme, mutuo aiuto)",Disabilitа e fragilitа sociale,Comunitа educante
82,86,D,13,"Attivazione di punti di ascolto (Psicologici, Alzheimer, Dipendenza patologica, Emarginazione Disturbi alimentari)",Disabilitа e fragilitа sociale,Comunitа educante
72,87,D,13,Sportello accompagnamento pratiche (accesso ai servizi),Disabilitа e fragilitа sociale,Comunitа educante
86,88,D,13,Mediazione familiare,Disabilitа e fragilitа sociale,Comunitа educante
32,89,D,13,Azioni di contrasto alle dipendenze,Disabilitа e fragilitа sociale,Comunitа educante
13,90,D,13,Consegna spesa a domicilio/ Banco alimentare,Disabilitа e fragilitа sociale,Comunitа educante
70,91,D,14,Progetti di integrazione delle famiglie straniere / mediazione culturale,Nuove cittadinanze,Comunitа educante
55,92,D,14,Sensibilizzazione sul tema dell'intercultura ,Nuove cittadinanze,Comunitа educante
89,94,D,15,Violenza di genere: Servizi di supporto per uomini maltrattanti,Pari opportunitа,Comunitа educante
85,95,D,15,Violenza di genere: Servizi di supporto  per le donne maltrattate,Pari opportunitа,Comunitа educante
77,96,D,15,Violenza di genere: Incontri formativi e informativi,Pari opportunitа,Comunitа educante
54,97,D,15,Pari opportunitа e tematiche di genere: Incontri formativi e informativi,Pari opportunitа,Comunitа educante
57,101,E,16,Banche del tempo,Sostenibilitа e share economy,Welfare territoriale e sostenibilitа
48,103,E,17,Certificazioni ambientali,Servizi educativi,Welfare territoriale e sostenibilitа
20,108,E,18,"Nido d’infanzia (pubblico, in convenzione)",Servizi territoriali,Welfare territoriale e sostenibilitа
49,109,E,18,Servizio Tagesmutter,Servizi territoriali,Welfare territoriale e sostenibilitа
21,110,E,18,"Servizi integrativi: Spazio genitori/bambini, spazio gioco",Servizi territoriali,Welfare territoriale e sostenibilitа
31,113,E,19,Servizi doposcuola e servizi estivi,Ambiente e infrastrutture,Welfare territoriale e sostenibilitа
19,114,E,19,Fasciatoi/Spazio allattamento/Baby Little Home/Spazi per la famiglia,Ambiente e infrastrutture,Welfare territoriale e sostenibilitа
24,116,E,19,Biblioteca family-oriented / media library,Ambiente e infrastrutture,Welfare territoriale e sostenibilitа
30,117,E,19,"Progetti per favorire l’autonomia dei bambini (Pedibus, Nonno vigile, ecc.)",Ambiente e infrastrutture,Welfare territoriale e sostenibilitа
22,120,E,19,Housing sociale,Ambiente e infrastrutture,Welfare territoriale e sostenibilitа
37,121,E,19,Ambulatori e servizi sanitari,Ambiente e infrastrutture,Welfare territoriale e sostenibilitа
90,122,E,19,Servizio affidi/adozioni,Ambiente e infrastrutture,Welfare territoriale e sostenibilitа
47,127,E,19,Orari concilianti per i propri utenti,Ambiente e infrastrutture,Welfare territoriale e sostenibilitа
79,130,E,20,"Progetti di mobilitа sostenibile e di efficienza energetica (ciclabili, trasporto pubblico)",Orari e permessi,Welfare territoriale e sostenibilitа
23,131,E,20,"Pianificazione urbanistica (strade, parchi, orti, campi sportivi ecc.)",Orari e permessi,Welfare territoriale e sostenibilitа
69,132,E,20,"Progetti di abbattimento delle barriere architettoniche, segnalazione grado di accessibilitа",Orari e permessi,Welfare territoriale e sostenibilitа
29,134,E,20,Sostegno alla mobilitа,Orari e permessi,Welfare territoriale e sostenibilitа
51,135,E,20,Sentieristica Family,Orari e permessi,Welfare territoriale e sostenibilitа
12,196,D,9,Attivitа/progetti formativi specifici per bambini e ragazzi,Progetti per protagonismo dei giovani,Comunitа educante
